host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,capacity,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within an hour,100.00%,97.00%,t,t,Entire loft,Entire home/apt,4,691,2,1125,4.73,4.79,4.68,4.94,4.91,4.71,4.68,t,1.59
a few days or more,33.00%,41.00%,t,t,Entire rental unit,Entire home/apt,6,724,2,1125,4.87,4.95,4.94,4.96,4.96,4.91,4.88,f,1.96
N/A,N/A,N/A,f,t,Entire home,Entire home/apt,4,1600,5,1125,4.87,4.91,4.86,4.77,4.84,4.99,4.9,f,1.21
within an hour,96.00%,100.00%,f,t,Entire rental unit,Entire home/apt,3,1282,1,1125,4.67,4.75,4.7,4.79,4.72,4.88,4.62,t,6.38
N/A,N/A,N/A,f,t,Entire rental unit,Entire home/apt,4,956,3,1125,4.91,4.91,4.91,4.96,4.91,5,4.93,t,0.81
N/A,N/A,100.00%,f,t,Entire condo,Entire home/apt,2,1300,4,1125,5,5,5,5,5,4.83,5,f,0.23
N/A,N/A,0.00%,f,t,Private room in loft,Private room,1,600,1,3,,,,,,,,f,
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,4,2357,7,365,4.96,4.96,4.91,5,5,4.96,4.87,f,0.41
within an hour,100.00%,99.00%,t,t,Entire condo,Entire home/apt,5,2983,2,1125,4.84,4.8,4.84,4.89,4.91,4.97,4.76,f,3.4
N/A,N/A,N/A,f,t,Entire rental unit,Entire home/apt,4,750,1,1125,4.75,4.85,4.79,4.94,4.91,4.98,4.72,t,0.97
within a day,50.00%,N/A,f,t,Entire rental unit,Entire home/apt,4,396,5,90,4.78,4.89,4.81,4.85,4.91,4.98,4.77,f,1.6
within an hour,100.00%,96.00%,f,t,Entire rental unit,Entire home/apt,6,1200,2,30,4.91,4.95,4.87,4.9,4.95,4.93,4.9,f,2.1
within an hour,100.00%,96.00%,t,t,Entire rental unit,Entire home/apt,2,550,2,28,4.9,4.97,4.97,4.98,4.84,4.87,4.88,f,2.2
within a day,100.00%,0.00%,f,f,Entire rental unit,Entire home/apt,4,945,1,1125,4.92,4.84,4.84,4.92,5,5,4.88,f,0.44
within an hour,89.00%,100.00%,f,t,Private room in rental unit,Private room,12,696,1,1125,4.78,4.89,4.89,4.78,5,4.33,4.56,t,0.16
within an hour,100.00%,92.00%,t,t,Private room in rental unit,Private room,2,500,1,1125,4.62,4.69,4.77,4.77,4.69,4.69,4.69,f,0.24
within an hour,100.00%,92.00%,t,t,Private room in rental unit,Private room,2,500,1,1125,4.93,4.73,4.87,5,5,5,4.93,f,0.28
within an hour,97.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,964,1,1125,4.91,4.97,4.94,4.83,4.89,4.7,4.88,t,2.82
N/A,N/A,N/A,f,t,Private room in rental unit,Private room,1,230,180,540,,,,,,,,f,
within an hour,89.00%,90.00%,t,t,Private room in guest suite,Private room,1,300,5,1125,4.84,4.77,4.87,4.87,4.84,4.81,4.71,f,0.65
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,2213,2,1125,4.67,4.78,4.76,4.78,4.71,4.96,4.69,t,0.79
